account,date,trade_count,avg_trade_size_usd,total_exposure_usd,avg_fee,daily_pnl,win_rate,pnl_count,long_ratio,drawdown_proxy,value,classification,sentiment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,5089.718248587571,900880.13,0.9480003107344632,0.0,,0.0,0.0,0.0,76.0,Extreme Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,7976.664411764705,542413.1799999999,0.998288455882353,0.0,,0.0,0.0,0.0,90.0,Extreme Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,23734.5,949380.0,2.3734495750000004,0.0,,0.0,0.0,0.0,83.0,Extreme Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,28186.666666666668,338240.0,2.8186662499999997,-21227.0,0.0,12.0,0.0,21227.0,94.0,Extreme Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,17248.14814814815,465700.0,3.874907037037037,1603.1,1.0,12.0,0.0,19623.9,79.0,Extreme Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,16058.536341463414,1316799.98,1.6058532560975611,-132271.0,0.0,82.0,0.0,151894.9,77.0,Extreme Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,48561.68565217392,1116918.77,16.996589260869566,0.0,,0.0,0.0,151894.9,84.0,Extreme Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,33,36736.36242424243,1212299.96,3.673636121212121,-175611.00005600002,0.0,33.0,0.0,327505.900056,72.0,Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,11410.954021505377,5306093.62,1.6781428817204302,71393.964098,0.20535714285714285,112.0,0.0,256111.935958,77.0,Extreme Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,9400.588039215687,479429.99,0.4700292745098039,40218.599998,1.0,28.0,0.0,215893.33596,76.0,Extreme Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,185847.0,1858470.0,9.2923496,76710.0,1.0,9.0,0.0,139183.33596,60.0,Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,839,23593.019856972587,19794543.66,2.8069586364719905,101011.685664,0.6900269541778976,371.0,0.3289630512514899,38171.65029599999,44.0,Fear,FEAR
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,531,10576.687156308852,5616220.88,1.3261758380414312,375620.270243,0.7477477477477478,111.0,0.0,0.0,72.0,Greed,GREED
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,48,32032.5,1537560.0,0.0,55086.0,1.0,16.0,0.0,0.0,43.0,Fear,FEAR
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,219,13233.776894977169,2898197.14,2.5383048447488585,115445.395538,1.0,93.0,0.0,0.0,25.0,Fear,FEAR
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,55,24958.908545454546,1372739.97,2.4958904545454548,115287.0,1.0,1.0,0.0,0.0,16.0,Extreme Fear,FEAR
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,45,2985.797555555556,134360.89,0.14928933333333333,9482.221441,1.0,36.0,0.0,0.0,20.0,Extreme Fear,FEAR
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,641,8371.136099843994,5365898.24,0.4185563572542902,533974.662903,1.0,540.0,0.0,0.0,33.0,Fear,FEAR
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,31,21491.640322580646,666240.85,2.149163548387097,307855.80341,1.0,31.0,0.0,0.0,43.0,Fear,FEAR
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,55,2469.9509090909087,135847.3,0.6305604361818182,11715.94323,1.0,46.0,0.14545454545454545,0.0,84.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,1,0.06,0.06,0.0,0.0,,0.0,0.0,0.0,81.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,34,1426.8700000000001,48513.58,0.03872612411764706,0.0,,0.0,1.0,0.0,72.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,26,2001.101153846154,52028.630000000005,0.20010953846153845,3515.031065,1.0,25.0,0.0,0.0,75.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,46,1131.888695652174,52066.88,0.031267971739130436,0.0,,0.0,1.0,0.0,78.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,64,852.88625,54584.72,0.29850940625,2517.787385,1.0,63.0,0.0,0.0,78.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,59,1913.523898305085,112897.91,0.3527898672881356,1613.165903,1.0,15.0,0.7457627118644068,0.0,81.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,1,0.11,0.11,0.0,0.0,,0.0,0.0,0.0,75.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,34,10051.199411764705,341740.77999999997,3.517919411764706,1245.51851,1.0,21.0,0.38235294117647056,0.0,74.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,13,2845.9646153846156,36997.54,4.731560769230769,0.0,,0.0,1.0,0.0,61.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,17,2440.6282352941175,41490.68,0.8542195294117647,4493.232479,1.0,17.0,0.0,0.0,75.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,39,2154.3915384615384,84021.26999999999,2.2857574615384615,1047.030992,1.0,28.0,0.2564102564102564,0.0,77.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,124,2194.294758064516,272092.55,1.0077556223387096,4842.054317,1.0,80.0,0.3467741935483871,0.0,77.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,339,1737.369557522124,588968.28,0.31875333985250737,1693.493165,1.0,198.0,0.415929203539823,0.0,75.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,54,2398.331666666667,129509.91,0.44917774537037036,4221.156399,1.0,4.0,0.9259259259259259,0.0,75.0,Extreme Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,44,1519.465681818182,66856.49,0.024074566363636363,0.0,,0.0,1.0,0.0,71.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,56,1317.0667857142857,73755.74,0.46097271428571424,6899.2458320000005,1.0,56.0,0.0,0.0,72.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,46,1602.9452173913044,73735.48,0.02539467913043478,0.0,,0.0,1.0,0.0,72.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,55,1474.6896363636365,81107.93000000001,0.5161406363636364,7372.485101,1.0,55.0,0.0,0.0,70.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,78,2094.719358974359,163388.11,0.3833807535897436,1162.002541,1.0,25.0,0.6794871794871795,0.0,68.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,517,2792.42166344294,1443682.0,0.9424699004255319,6352.452613,0.9471544715447154,246.0,0.5222437137330754,0.0,60.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,1,82910.81,82910.81,29.018782,-6820.76955,0.0,1.0,0.0,17682.326052999997,25.0,Fear,FEAR
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,52,1462.824423076923,76066.87,0.026023482307692306,0.0,,0.0,1.0,17682.326052999997,16.0,Extreme Fear,FEAR
